beta mean unc mu sigma
57.4326 -0.445368 0.00215322 0.771177 0.627088
58.0127 -0.443154 0.00209089 0.764285 0.624753
58.5987 -0.438597 0.00246342 0.76185 0.625926
59.1906 -0.440857 0.00223179 0.764996 0.627291
59.7885 -0.443042 0.0025151 0.764329 0.628194
60.3924 -0.438284 0.00202813 0.759309 0.626446
61.0024 -0.438316 0.00250807 0.75176 0.630091
61.6186 -0.429853 0.00320475 0.7514 0.626763
62.241 -0.440948 0.00196712 0.758848 0.627294
62.8697 -0.437671 0.00207418 0.756046 0.625659
63.5047 -0.437671 0.00207418 0.756046 0.625659
64.1462 -0.4441 0.00209348 0.76304 0.628743
64.7942 -0.439658 0.00243481 0.768134 0.629712
65.4486 -0.443164 0.00274481 0.771302 0.632398
66.1097 -0.442742 0.00253256 0.775474 0.630358
66.7775 -0.438739 0.00221563 0.775537 0.632374
67.452 -0.441348 0.00256944 0.776758 0.635211
68.1334 -0.441288 0.00250111 0.771462 0.636594
68.8216 -0.441288 0.00250111 0.771462 0.636594
69.5167 -0.441248 0.00239852 0.771536 0.636453
70.2189 -0.437929 0.00307702 0.765479 0.638339
70.9282 -0.438247 0.00297442 0.762037 0.638681
71.6447 -0.438247 0.00297442 0.762037 0.638681
72.3684 -0.43986 0.00263623 0.757576 0.637995
73.0993 -0.433438 0.00288204 0.762432 0.638779
73.8377 -0.437801 0.00233596 0.758611 0.636074
74.5836 -0.437801 0.00233596 0.758611 0.636074
75.3369 -0.439865 0.00265428 0.758322 0.636252
76.0979 -0.439865 0.00265428 0.758322 0.636252
76.8666 -0.440261 0.00236659 0.752604 0.633974
77.643 -0.43563 0.002988 0.752188 0.632568
78.4273 -0.436204 0.00256671 0.752189 0.632717
79.2195 -0.435794 0.0026348 0.757238 0.633154
80.0197 -0.435761 0.00268675 0.762267 0.630857
80.8279 -0.443744 0.00214525 0.764886 0.630633
81.6444 -0.439503 0.00257637 0.764074 0.629993
82.4691 -0.438382 0.00248053 0.768535 0.630517
83.3021 -0.439045 0.00312935 0.766162 0.62866
84.1435 -0.437641 0.00225593 0.76188 0.627174
84.9935 -0.437641 0.00225593 0.76188 0.627174
85.852 -0.435852 0.00227053 0.756412 0.629366
86.7192 -0.442869 0.00227085 0.758631 0.627013
87.5951 -0.433795 0.0023813 0.756606 0.624196
88.4799 -0.435185 0.00236445 0.756101 0.625418
89.3737 -0.441209 0.00249364 0.759594 0.623651
90.2764 -0.439841 0.0026127 0.760454 0.623434
